epoch,step,train_acc,train_loss,val_acc,val_loss
0,758,,,0.3516579270362854,1.955065131187439
0,758,0.2186082899570465,2.4502415657043457,,
1,1517,,,0.5865619778633118,1.2869359254837036
1,1517,0.40436145663261414,1.7933708429336548,,
2,2276,,,0.7212914228439331,0.9342585206031799
2,2276,0.5473658442497253,1.36159348487854,,
3,3035,,,0.7862129211425781,0.7048330307006836
3,3035,0.6544026732444763,1.0655491352081299,,
4,3794,,,0.8439790606498718,0.5721577405929565
4,3794,0.7191854119300842,0.8761522173881531,,
5,4553,,,0.842059314250946,0.5359008312225342
5,4553,0.7581210136413574,0.7621084451675415,,
6,5312,,,0.8582897186279297,0.46601980924606323
6,5312,0.7878431677818298,0.6805715560913086,,
7,6071,,,0.886561930179596,0.38051486015319824
7,6071,0.8084961771965027,0.6196403503417969,,
8,6830,,,0.8912739753723145,0.39497309923171997
8,6830,0.8259749412536621,0.5642615556716919,,
9,7589,,,0.90541011095047,0.3186649680137634
9,7589,0.8426498770713806,0.5161752104759216,,
10,8348,,,0.9157068133354187,0.3021582067012787
10,8348,0.8531412482261658,0.47779935598373413,,
11,9107,,,0.9205933809280396,0.28104570508003235
11,9107,0.8649105429649353,0.4447227418422699,,
12,9866,,,0.9265270233154297,0.2716960608959198
12,9866,0.8724338412284851,0.4159882366657257,,
13,10625,,,0.9253054261207581,0.2638443112373352
13,10625,0.8797716498374939,0.39251893758773804,,
14,11384,,,0.9289703369140625,0.2531571388244629
14,11384,0.8859345316886902,0.36963391304016113,,
15,12143,,,0.9345549941062927,0.22811385989189148
15,12143,0.8914585113525391,0.35767433047294617,,
16,12902,,,0.9369982481002808,0.21277034282684326
16,12902,0.8968587517738342,0.3392939567565918,,
17,13661,,,0.9392670392990112,0.20816963911056519
17,13661,0.8998474478721619,0.3288939297199249,,
18,14420,,,0.9350785613059998,0.21475575864315033
18,14420,0.9059691429138184,0.3084271550178528,,
19,15179,,,0.9452006816864014,0.19687391817569733
19,15179,0.9060516357421875,0.30195850133895874,,
20,15938,,,0.944502592086792,0.1914644092321396
20,15938,0.9115549325942993,0.28964048624038696,,
21,16697,,,0.9457242488861084,0.18482691049575806
21,16697,0.9124618768692017,0.28987887501716614,,
22,17456,,,0.943630039691925,0.1977275162935257
22,17456,0.9164811372756958,0.27357277274131775,,
23,18215,,,0.944502592086792,0.19498015940189362
23,18215,0.9178827404975891,0.2622300684452057,,
24,18974,,,0.9467713832855225,0.18383283913135529
24,18974,0.9190988540649414,0.26065653562545776,,
25,19733,,,0.9467713832855225,0.17579229176044464
25,19733,0.921902060508728,0.25331512093544006,,
26,20492,,,0.9443280696868896,0.1787155121564865
26,20492,0.9255915284156799,0.24219617247581482,,
27,21251,,,0.9478185176849365,0.17588414251804352
27,21251,0.9256740212440491,0.2399304062128067,,
28,22010,,,0.9472949504852295,0.17847514152526855
28,22010,0.9278382658958435,0.23408342897891998,,
29,22769,,,0.9443280696868896,0.19258847832679749
29,22769,0.931445300579071,0.22162288427352905,,
30,23528,,,0.951483428478241,0.16164273023605347
30,23528,0.9369074106216431,0.20383210480213165,,
31,24287,,,0.9535776376724243,0.15602722764015198
31,24287,0.9386181831359863,0.19823254644870758,,
32,25046,,,0.9549738168716431,0.15448996424674988
32,25046,0.939793050289154,0.19244448840618134,,
33,25805,,,0.9541012048721313,0.15554501116275787
33,25805,0.9402465224266052,0.19277752935886383,,
34,26564,,,0.952006995677948,0.1528855413198471
34,26564,0.9413801431655884,0.18927444517612457,,
35,27323,,,0.9549738168716431,0.1538265347480774
35,27323,0.9426993131637573,0.18398599326610565,,
36,28082,,,0.9547992944717407,0.15647293627262115
36,28082,0.9422664642333984,0.18390165269374847,,
